MonthYear_Date,ActionGeo_CountryCode,count
201607,RB,3634
201709,TX,1025
201503,IV,2971
201505,HU,6563
201608,VQ,798
201601,LS,127
201704,PO,6182
201604,QA,15264
201605,BT,1754
201605,MP,1877
201610,BC,4574
201601,MA,810
201602,RN,61
201704,FO,83
201504,VE,10043
201601,VQ,444
201508,BH,3361
201506,MI,4752
201504,WZ,1707
201612,ST,729
201607,AN,120
201504,LT,874
201610,GP,112
201505,CN,131
201608,SC,222
201508,CO,10549
201508,JE,6432
201508,CJ,1516
201608,EC,3195
201702,RI,3564
201507,EC,13559
201603,CM,5204
201707,EN,4476
201705,SL,3024
201705,CV,341
201611,SI,2625
201605,TH,25640
201612,CO,9365
201612,CT,1780
201602,AG,5361
201704,MX,38878
201701,TZ,8011
201708,RM,592
201705,EZ,7236
201504,RQ,2051
201706,HK,9615
201507,GL,1193
201705,AR,6095
201709,BH,3216
201704,NI,131474
201604,CJ,1515
201707,VI,354
201505,AF,50153
201609,MP,1532
201602,MB,262
201704,NC,246
201705,LO,1770
201504,ES,2821
201505,BH,3002
201512,CN,135
201709,CQ,27
201709,RM,379
201609,CN,181
201611,PC,44
201709,GI,799
201610,CV,296
201505,NT,13
201511,SH,10
201701,LQ,2
201611,SY,99283
201708,AU,7496
201503,SA,55545
201707,PP,2455
201509,EC,4225
201705,GH,32934
201611,ER,1513
201606,KN,17825
201602,JE,6762
201709,PK,60445
201602,AO,5940
201612,LI,6297
201612,UV,1576
201610,GZ,2097
201511,NC,307
201506,MR,809
201510,,151327
201510,UV,3026
201612,BL,1910
201709,RS,86708
201605,TI,4365
201705,BY,1952
201608,UV,1270
201610,RE,399
201707,PF,83
201512,OC,364
201705,BT,1763
201704,WZ,1295
201502,VC,78
201509,TL,144
201508,MI,4118
201508,RM,695
201502,BX,1122
201502,AY,301
201703,BA,7866
201512,AY,810
201708,BE,13042
201603,NP,16535
201607,CG,1964
201707,CM,4503
201507,AE,16399
201511,RE,2105
201605,EI,49961
201605,NO,12266
201505,PE,8317
201708,RO,6787
201706,WA,4251
201511,WI,819
201702,EI,51022
201507,MP,1119
201702,BY,2514
201509,BG,25379
