MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201708,19,CA,6381
201708,18,PO,71
201603,19,CI,209
201706,18,CA,1506
201506,19,CO,848
201702,20,RB,19
201702,19,UG,940
201512,19,VM,1348
201509,19,RB,424
201701,18,JM,141
201701,19,SZ,752
201709,18,LY,221
201704,20,NI,42
201603,19,LO,95
201607,19,IN,18466
201604,19,SA,3810
201510,18,ET,101
201607,19,UG,1496
201606,18,PE,70
201503,20,IZ,179
201511,18,LH,43
201610,19,IR,5519
201610,19,PP,64
201706,18,SA,722
201504,19,IT,2598
201512,18,LE,731
201709,19,AR,227
201508,18,HO,56
201705,19,AJ,686
201511,18,KN,116
201709,20,IR,100
201601,19,TX,193
201611,18,AJ,64
201708,19,BA,121
201503,19,TX,142
201510,20,OD,34
201602,19,FP,21
201601,18,OD,71
201609,19,OC,14
201709,18,UG,130
201705,19,CG,202
201507,18,MY,279
201704,20,IR,38
201609,18,GG,16
201707,19,BM,378
201611,19,BU,529
201511,18,DA,98
201509,19,BU,250
201703,18,MO,92
201601,19,RI,165
201704,19,SE,19
201709,19,EK,4
201506,19,MN,28
201612,19,DO,4
201703,20,UG,4
201510,19,BT,26
201706,18,BD,9
201601,18,TX,20
201607,20,KZ,1
201704,18,FI,28
201511,20,IR,16
201709,19,BX,33
201509,18,CS,36
201603,19,FM,2
201510,20,YM,4
201506,20,PL,9
201505,18,EN,14
201612,18,ST,5
201505,18,TW,47
201702,20,ES,13
201508,18,RQ,14
201602,20,BE,4
201502,18,ER,5
201611,18,SG,22
201701,20,AU,1
201502,01,NT,4
201603,02,SV,8
201706,19,LS,2
201709,20,SL,3
201609,19,TP,1
201610,20,VE,3
201704,20,GH,6
201610,20,DJ,2
201705,20,LU,1
201602,19,WI,12
201602,18,WI,5
201705,03,SF,5097
201609,01,SW,2415
201707,01,LT,208
201708,03,ES,131
201607,02,PM,449
201607,03,SZ,1739
201604,01,IR,9211
201701,01,CA,23074
201701,01,KE,4966
201505,01,NL,2674
201707,02,BO,480
201602,02,FI,416
201504,02,RS,5776
201607,03,TH,1719
201605,02,AF,3296
201707,02,KZ,263
201707,02,UP,1452
201604,02,CI,530
201511,03,AU,1703
201511,03,GH,1469
201601,03,GM,6913
201707,03,OD,320
201706,02,SA,3703
201611,03,SY,4660
201702,03,HA,412
201503,01,BR,2195
201701,01,UG,2098
201708,03,BU,569
201706,03,EI,3797
201603,02,AS,12435
201510,01,ID,5076
201502,03,PM,121
201603,01,BG,5703
201703,03,TH,1816
201703,03,DR,163
201708,01,CY,411
201603,01,LG,310
201604,02,OS,199
201511,01,ST,159
201702,03,BR,1307
201608,02,GZ,100
201705,02,NG,169
201601,01,LG,410
201601,03,SI,102
201604,03,LI,413
201511,01,JO,2542
201511,02,EC,322
201611,02,GH,3378
201507,02,LO,125
201609,02,RM,51
201607,01,MJ,72
201707,02,MA,43
201703,02,EN,204
201703,02,IV,130
201604,03,HK,609
201704,03,NG,118
201707,01,WS,317
201505,03,CA,9475
201704,03,UV,51
201607,01,VI,59
201510,03,KG,563
201508,02,NG,186
201509,03,TO,80
201701,03,TD,360
201611,02,CF,281
201611,03,SI,275
201604,03,GI,85
201607,03,TV,6
201608,02,TI,178
201512,02,TI,130
201512,01,GT,353
201602,01,MG,157
201612,01,MI,1142
201706,03,GI,89
201705,03,EK,91
201604,03,RM,88
201701,03,EK,109
201509,01,TX,191
201509,01,AC,153
201504,01,TD,838
201703,01,ER,151
201607,02,PG,16
201601,01,BB,476
201608,02,VT,96
201503,02,AY,96
