ActionGeo_CountryCode,MentionTimeDate,count
AE,201603,88290
BT,201606,3853
MJ,201703,4962
CH,201708,576397
TV,201612,174
BR,201503,66254
GA,201504,17283
PK,201506,385725
JO,201508,69647
CQ,201508,356
MY,201509,157746
MI,201509,12097
TZ,201510,45184
TU,201511,628923
SF,201603,213460
PP,201603,7686
ET,201605,29573
GJ,201605,5471
SI,201605,5043
SF,201606,255707
CS,201606,6371
AR,201607,24520
GZ,201608,5493
PM,201609,13673
MV,201609,7758
EG,201610,135271
ET,201611,30790
IM,201611,332
LU,201612,7372
RP,201702,313474
NL,201702,66210
FP,201702,324
CI,201703,20944
PE,201703,30459
OS,201705,12895
VI,201705,596
RB,201706,8663
IV,201706,4474
MA,201708,2508
NT,201505,27
SM,201508,267
SV,201603,243
AN,201705,133
LO,201601,5446
AE,201602,70870
BX,201602,32246
DO,201606,1125
,201611,1525172
MG,201701,5250
FK,201701,138
KT,201703,146
FP,201711,5
NR,201502,3338
BO,201503,27211
NZ,201504,138850
CU,201504,205781
CO,201505,44391
CI,201507,27914
WS,201508,4661
RS,201509,493187
MP,201510,3082
OD,201510,36657
CW,201511,1634
UV,201512,16527
CU,201601,70478
IT,201603,171250
CM,201602,17731
RQ,201605,41909
MG,201607,21800
GT,201607,8867
JA,201608,268908
CY,201608,18873
SW,201609,49427
RI,201610,17519
ST,201610,2430
JA,201702,222425
BL,201702,6521
LU,201702,6513
LE,201703,42424
CU,201703,45481
AR,201707,13158
GL,201707,1665
KZ,201708,13219
RN,201508,133
PS,201610,396
NL,201711,319
TV,201702,80
LT,201604,2470
AA,201605,878
TT,201703,5423
NC,201705,449
RN,201502,73
JQ,201512,8
WQ,201704,5
UG,201504,38510
KR,201505,360
GL,201506,2319
MP,201506,4550
CH,201508,840668
PK,201508,601920
NG,201510,14744
GI,201510,2383
IT,201511,188854
IZ,201511,278223
MZ,201511,9764
TI,201512,8692
OD,201512,21043
MN,201512,2221
CU,201603,252702
AG,201603,29503
TD,201604,16750
WA,201606,14113
SF,201608,249795
GJ,201609,2419
BN,201610,10591
DR,201701,5660
UG,201702,45544
EG,201703,134174
SA,201704,141024
AE,201707,56104
MR,201707,923
SL,201708,30237
SA,201711,1054
RN,201708,73
AA,201707,349
DA,201710,915
PG,201610,95
AN,201502,16
UP,201711,361
CI,201511,20855
KU,201612,20595
TZ,201702,20664
AN,201511,218
AC,201711,4
SN,201502,20467
KN,201504,48887
IT,201504,301490
JO,201504,91491
AG,201504,16580
NH,201505,1813
GI,201506,2012
ST,201507,1258
TX,201507,13702
AY,201509,3871
MD,201510,22984
KV,201510,10252
YM,201601,103960
GI,201604,2709
AU,201606,38590
CM,201606,14870
GJ,201606,2665
BE,201607,87110
EC,201607,4953
WI,201608,1520
NL,201610,70447
DJ,201610,9648
SW,201611,82307
RP,201701,311796
LY,201702,53881
SL,201702,11811
FR,201704,568677
RO,201705,29205
LO,201706,3274
ML,201706,41501
KV,201706,5031
AS,201707,680151
SU,201708,57355
NL,201708,55539
PE,201708,21118
CI,201708,23422
TN,201708,2608
VC,201507,620
SI,201708,2569
TP,201507,214
WQ,201702,7
TL,201708,90
FG,201705,200
BO,201510,42814
TN,201511,1728
CG,201711,52
AN,201706,76
AU,201711,135
NT,201506,32
NR,201711,18
LQ,201604,2
WQ,201503,2
EG,201502,112579
SY,201502,202895
DA,201502,25883
ER,201503,3074
EN,201504,7934
BL,201509,8331
MT,201509,18142
ES,201509,14517
ER,201509,13128
AV,201510,357
SL,201512,12867
CF,201601,8478
LH,201601,5899
MG,201602,3482
IV,201602,7817
NH,201602,1644
GR,201603,285113
MK,201603,76505
RW,201605,34222
TI,201607,8190
SA,201608,158574
CE,201610,65874
SA,201611,109111
AC,201611,5294
MX,201701,432007
AY,201703,2350
SZ,201705,74740
JM,201705,25117
AQ,201707,151
SN,201708,84563
NH,201709,1210
AV,201503,487
BP,201509,2526
AQ,201709,486
PG,201504,457
RE,201606,1432
SW,201704,141051
SN,201705,52046
SH,201606,241
AR,201711,187
BP,201710,22
BY,201710,60
HQ,201612,4
TZ,201503,22651
RO,201505,26415
OS,201505,13012
PL,201506,76839
BG,201506,146122
BL,201507,98203
HU,201508,81012
GI,201512,1636
HK,201602,40787
GZ,201602,9577
KV,201602,7547
TL,201602,102
DJ,201603,13044
ES,201603,7627
GH,201605,90278
UZ,201605,8460
SU,201607,76350
AE,201609,56824
BM,201609,39875
CU,201610,83035
SM,201610,278
EC,201612,6930
MX,201704,180175
LT,201705,3240
HR,201705,7046
BO,201706,12202
GZ,201706,10873
SL,201710,84
SP,201711,419
MH,201608,508
PU,201706,312
AF,201510,506684
UY,201611,2735
NC,201707,2100
SW,201708,37341
AG,201710,102
FK,201606,140
IM,201502,50
PC,201701,220
GM,201502,103087
CI,201503,40039
OS,201503,9936
ML,201508,64586
FI,201508,19247
TT,201509,6724
GY,201509,20433
ZI,201510,70578
IT,201510,193358
GQ,201510,5834
SW,201510,136694
NI,201511,378547
OS,201601,13329
LA,201601,32032
CH,201603,682815
CY,201603,55955
MR,201603,5345
IS,201604,497882
LU,201606,22641
AY,201607,2486
GG,201608,4041
WS,201608,5777
JM,201608,32860
RQ,201611,9451
CT,201701,9958
HO,201702,6565
DO,201704,909
BL,201705,2400
PP,201709,6268
JA,201710,6662
AN,201505,1610
FG,201607,60
SV,201707,328
FK,201708,82
KE,201601,108671
TT,201601,1031
GK,201602,2110
RP,201604,285722
MO,201611,61553
AF,201611,245052
MU,201612,20089
BD,201702,2965
TK,201609,8
AN,201710,4
IM,201608,57
GG,201502,3135
KE,201503,98669
SF,201503,206131
TI,201503,13894
HR,201504,7963
SZ,201504,67469
LO,201504,4459
NL,201505,85138
DA,201505,59629
MP,201505,2411
TN,201505,1296
SY,201506,445673
MC,201506,1879
IV,201508,13903
NZ,201512,97654
PM,201601,11588
OD,201602,27409
GH,201603,100495
PS,201603,836
EC,201603,10440
CG,201603,4560
MN,201604,5480
CW,201604,1315
