MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
dailytelegraph.com.au,VQ,21045,2
gulfnews.com,VQ,21045,3
japantimes.co.jp,VQ,21045,4
thehindu.com,VQ,21045,2
thejakartapost.com,VQ,21045,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
gulfnews.com,GG,103145,55
thehindu.com,GG,103145,16
theguardian.com,GG,103145,84
timesofisrael.com,GG,103145,34
rt.com,GG,103145,90
kenyastar.com,GG,103145,10
france24.com,GG,103145,83
washingtonpost.com,GG,103145,137
japantimes.co.jp,GG,103145,41
thejakartapost.com,GG,103145,15
chinadaily.com.cn,GG,103145,34
dailytelegraph.com.au,GG,103145,8
theguardian.com,PG,4090,13
france24.com,PG,4090,3
washingtonpost.com,PG,4090,6
dailytelegraph.com.au,PG,4090,7
japantimes.co.jp,PG,4090,15
gulfnews.com,PG,4090,5
thehindu.com,PG,4090,2
thejakartapost.com,PG,4090,4
chinadaily.com.cn,PG,4090,5
rt.com,PG,4090,7
japantimes.co.jp,RI,130630,105
france24.com,RI,130630,378
washingtonpost.com,RI,130630,660
thehindu.com,RI,130630,60
theguardian.com,RI,130630,186
dailytelegraph.com.au,RI,130630,102
rt.com,RI,130630,234
timesofisrael.com,RI,130630,95
chinadaily.com.cn,RI,130630,242
gulfnews.com,RI,130630,156
thejakartapost.com,RI,130630,66
kenyastar.com,RI,130630,7
japantimes.co.jp,RQ,101203,108
washingtonpost.com,RQ,101203,1463
theguardian.com,RQ,101203,255
thejakartapost.com,RQ,101203,21
france24.com,RQ,101203,86
timesofisrael.com,RQ,101203,25
dailytelegraph.com.au,RQ,101203,35
gulfnews.com,RQ,101203,82
kenyastar.com,RQ,101203,5
rt.com,RQ,101203,44
thehindu.com,RQ,101203,56
chinadaily.com.cn,RQ,101203,5
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,BC,127422,113
gulfnews.com,BC,127422,34
thejakartapost.com,BC,127422,15
france24.com,BC,127422,27
kenyastar.com,BC,127422,33
japantimes.co.jp,BC,127422,15
dailytelegraph.com.au,BC,127422,13
washingtonpost.com,BC,127422,38
thehindu.com,BC,127422,19
chinadaily.com.cn,BC,127422,18
rt.com,BC,127422,3
timesofisrael.com,BC,127422,1
dailytelegraph.com.au,GH,870982,1682
japantimes.co.jp,GH,870982,46
washingtonpost.com,GH,870982,251
theguardian.com,GH,870982,611
gulfnews.com,GH,870982,201
france24.com,GH,870982,158
timesofisrael.com,GH,870982,39
thehindu.com,GH,870982,134
rt.com,GH,870982,13
chinadaily.com.cn,GH,870982,74
kenyastar.com,GH,870982,46
thejakartapost.com,GH,870982,41
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
gulfnews.com,BN,77524,80
washingtonpost.com,BN,77524,82
kenyastar.com,BN,77524,23
france24.com,BN,77524,116
theguardian.com,BN,77524,44
japantimes.co.jp,BN,77524,26
timesofisrael.com,BN,77524,5
thehindu.com,BN,77524,33
chinadaily.com.cn,BN,77524,9
rt.com,BN,77524,3
thejakartapost.com,BN,77524,9
dailytelegraph.com.au,BN,77524,8
france24.com,CV,7185,14
theguardian.com,CV,7185,8
washingtonpost.com,CV,7185,11
timesofisrael.com,CV,7185,8
gulfnews.com,CV,7185,6
japantimes.co.jp,CV,7185,10
kenyastar.com,CV,7185,1
thehindu.com,CV,7185,3
dailytelegraph.com.au,CV,7185,1
france24.com,HK,268212,597
theguardian.com,HK,268212,696
thehindu.com,HK,268212,271
thejakartapost.com,HK,268212,561
gulfnews.com,HK,268212,498
japantimes.co.jp,HK,268212,489
chinadaily.com.cn,HK,268212,1727
washingtonpost.com,HK,268212,507
rt.com,HK,268212,76
dailytelegraph.com.au,HK,268212,231
timesofisrael.com,HK,268212,28
kenyastar.com,HK,268212,19
thejakartapost.com,NH,30040,78
japantimes.co.jp,NH,30040,13
dailytelegraph.com.au,NH,30040,142
washingtonpost.com,NH,30040,27
gulfnews.com,NH,30040,42
theguardian.com,NH,30040,82
france24.com,NH,30040,13
chinadaily.com.cn,NH,30040,24
kenyastar.com,NH,30040,8
thehindu.com,NH,30040,6
rt.com,NH,30040,4
timesofisrael.com,NH,30040,2
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,MI,183718,138
theguardian.com,MI,183718,155
thehindu.com,MI,183718,29
gulfnews.com,MI,183718,48
kenyastar.com,MI,183718,26
france24.com,MI,183718,73
rt.com,MI,183718,17
japantimes.co.jp,MI,183718,18
thejakartapost.com,MI,183718,14
chinadaily.com.cn,MI,183718,10
dailytelegraph.com.au,MI,183718,9
timesofisrael.com,MI,183718,1
chinadaily.com.cn,TW,398902,1994
france24.com,TW,398902,643
washingtonpost.com,TW,398902,1063
thehindu.com,TW,398902,363
japantimes.co.jp,TW,398902,1109
rt.com,TW,398902,143
thejakartapost.com,TW,398902,724
theguardian.com,TW,398902,425
dailytelegraph.com.au,TW,398902,216
gulfnews.com,TW,398902,447
kenyastar.com,TW,398902,52
timesofisrael.com,TW,398902,75
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,GV,61103,314
rt.com,GV,61103,19
theguardian.com,GV,61103,194
gulfnews.com,GV,61103,89
france24.com,GV,61103,166
kenyastar.com,GV,61103,15
thejakartapost.com,GV,61103,21
japantimes.co.jp,GV,61103,45
timesofisrael.com,GV,61103,27
dailytelegraph.com.au,GV,61103,55
thehindu.com,GV,61103,56
chinadaily.com.cn,GV,61103,35
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
kenyastar.com,SU,515763,1475
theguardian.com,SU,515763,1027
france24.com,SU,515763,944
washingtonpost.com,SU,515763,1289
chinadaily.com.cn,SU,515763,194
gulfnews.com,SU,515763,849
thejakartapost.com,SU,515763,156
timesofisrael.com,SU,515763,350
thehindu.com,SU,515763,271
japantimes.co.jp,SU,515763,293
dailytelegraph.com.au,SU,515763,160
rt.com,SU,515763,93
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
thehindu.com,BD,57798,16
rt.com,BD,57798,5
theguardian.com,BD,57798,42
dailytelegraph.com.au,BD,57798,17
france24.com,BD,57798,6
washingtonpost.com,BD,57798,56
gulfnews.com,BD,57798,10
japantimes.co.jp,BD,57798,5
thejakartapost.com,BD,57798,2
timesofisrael.com,BD,57798,1
kenyastar.com,BD,57798,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,TO,25173,70
france24.com,TO,25173,152
timesofisrael.com,TO,25173,14
theguardian.com,TO,25173,9
gulfnews.com,TO,25173,40
thehindu.com,TO,25173,24
chinadaily.com.cn,TO,25173,12
rt.com,TO,25173,5
dailytelegraph.com.au,TO,25173,3
japantimes.co.jp,TO,25173,5
kenyastar.com,TO,25173,3
gulfnews.com,WI,16322,32
thehindu.com,WI,16322,5
washingtonpost.com,WI,16322,44
timesofisrael.com,WI,16322,9
france24.com,WI,16322,27
dailytelegraph.com.au,WI,16322,7
theguardian.com,WI,16322,11
chinadaily.com.cn,WI,16322,3
thejakartapost.com,WI,16322,5
kenyastar.com,WI,16322,3
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,FK,1511,1
washingtonpost.com,FK,1511,4
thejakartapost.com,ID,972649,66781
kenyastar.com,ID,972649,101
dailytelegraph.com.au,ID,972649,4094
france24.com,ID,972649,1351
washingtonpost.com,ID,972649,2584
japantimes.co.jp,ID,972649,1291
chinadaily.com.cn,ID,972649,853
gulfnews.com,ID,972649,1766
theguardian.com,ID,972649,2201
thehindu.com,ID,972649,1114
timesofisrael.com,ID,972649,208
rt.com,ID,972649,253
washingtonpost.com,LY,530590,3459
rt.com,LY,530590,1249
france24.com,LY,530590,2475
gulfnews.com,LY,530590,2489
japantimes.co.jp,LY,530590,1111
theguardian.com,LY,530590,2042
dailytelegraph.com.au,LY,530590,377
thehindu.com,LY,530590,648
thejakartapost.com,LY,530590,241
chinadaily.com.cn,LY,530590,255
timesofisrael.com,LY,530590,626
kenyastar.com,LY,530590,113
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,IV,66893,180
washingtonpost.com,IV,66893,343
france24.com,IV,66893,482
gulfnews.com,IV,66893,183
kenyastar.com,IV,66893,166
japantimes.co.jp,IV,66893,26
dailytelegraph.com.au,IV,66893,67
thehindu.com,IV,66893,65
timesofisrael.com,IV,66893,13
thejakartapost.com,IV,66893,21
rt.com,IV,66893,11
chinadaily.com.cn,IV,66893,19
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
chinadaily.com.cn,TP,3087,23
japantimes.co.jp,TP,3087,5
thehindu.com,TP,3087,7
washingtonpost.com,TP,3087,10
gulfnews.com,TP,3087,5
france24.com,TP,3087,3
thejakartapost.com,TP,3087,5
dailytelegraph.com.au,TP,3087,2
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
chinadaily.com.cn,AU,393200,244
thejakartapost.com,AU,393200,308
japantimes.co.jp,AU,393200,470
theguardian.com,AU,393200,1013
thehindu.com,AU,393200,358
timesofisrael.com,AU,393200,1000
rt.com,AU,393200,903
washingtonpost.com,AU,393200,1678
gulfnews.com,AU,393200,1061
france24.com,AU,393200,1185
dailytelegraph.com.au,AU,393200,398
kenyastar.com,AU,393200,43
washingtonpost.com,GZ,68017,184
timesofisrael.com,GZ,68017,1063
gulfnews.com,GZ,68017,154
japantimes.co.jp,GZ,68017,46
thehindu.com,GZ,68017,56
thejakartapost.com,GZ,68017,23
rt.com,GZ,68017,46
france24.com,GZ,68017,205
theguardian.com,GZ,68017,32
chinadaily.com.cn,GZ,68017,23
dailytelegraph.com.au,GZ,68017,5
kenyastar.com,GZ,68017,4
thehindu.com,PK,3495626,17244
gulfnews.com,PK,3495626,14421
washingtonpost.com,PK,3495626,6490
chinadaily.com.cn,PK,3495626,1122
theguardian.com,PK,3495626,2769
